#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_ncdm[1]         23:theta_ncdm[1]         24:shear_ncdm[1]         25:cs2_ncdm[1]        
       1.756857447858e-01       3.794387065560e-07      -1.202012721914e+00       5.277109050091e-04       5.958410059558e-11       1.489602514890e-10       9.460880618435e-19       2.979205029779e-11      -9.015095414358e-01       5.277109050091e-04       6.010603974595e-01       6.995122750931e-01      -1.202012721677e+00       5.277036595534e-04       1.236438066303e-05      -9.015095418051e-01       5.277259608788e-04      -1.029593176243e-04      -2.232432627072e-08       1.237713291667e-05       3.333333328925e-01      -1.028869837869e-04      -2.230812078748e-08       1.235458115264e-05       3.325847021702e-01 
       1.797282286909e-01       3.881723731101e-07      -1.202031650793e+00       5.398550177719e-04       6.379363440502e-11       1.594840860125e-10       1.060094307192e-18       3.189681720251e-11      -9.015237380950e-01       5.398550177720e-04       6.010589639611e-01       6.995082621431e-01      -1.202031650516e+00       5.398472605372e-04       1.293978259023e-05      -9.015237385274e-01       5.398711368290e-04      -1.077509057611e-04      -2.390091704049e-08       1.295312827173e-05       3.333333328720e-01      -1.076695376824e-04      -2.388053895760e-08       1.292816819599e-05       3.325498861425e-01 
       1.837707125960e-01       3.969061694086e-07      -1.202050045606e+00       5.519988912540e-04       6.819692024525e-11       1.704923006131e-10       1.184836360186e-18       3.409846012263e-11      -9.015375342043e-01       5.519988912540e-04       6.010576023674e-01       6.995043990736e-01      -1.202050045285e+00       5.519905986899e-04       1.352827457651e-05      -9.015375347041e-01       5.520161223981e-04      -1.126514567421e-04      -2.555003269314e-08       1.354222724501e-05       3.333333328510e-01      -1.125603305216e-04      -2.552505675751e-08       1.351467920786e-05       3.325142814218e-01 
       1.906762787914e-01       4.118259621152e-07      -1.202080374429e+00       5.727430962139e-04       7.617947836145e-11       1.904486959036e-10       1.424896598486e-18       3.808973918072e-11      -9.015602808216e-01       5.727430962139e-04       6.010554320540e-01       6.994981113647e-01      -1.202080374027e+00       5.727338331819e-04       1.456384378783e-05      -9.015602814472e-01       5.727623433349e-04      -1.212748543589e-04      -2.853955763549e-08       1.457886454226e-05       3.333333328141e-01      -1.211652851103e-04      -2.850565510608e-08       1.454645593710e-05       3.324516360556e-01 
       1.975818449869e-01       4.267461335456e-07      -1.202109544109e+00       5.934866408228e-04       8.476189464475e-11       2.119047366119e-10       1.702384895989e-18       4.238094732237e-11      -9.015821580817e-01       5.934866408228e-04       6.010534346526e-01       6.994921611909e-01      -1.202109543617e+00       5.934763344094e-04       1.563760888562e-05      -9.015821588476e-01       5.935080552997e-04      -1.302161901817e-04      -3.175360641705e-08       1.565373707886e-05       3.333333327758e-01      -1.300857871309e-04      -3.170928310935e-08       1.561587591304e-05       3.323866912449e-01 
       2.044874111823e-01       4.416666837723e-07      -1.202137781949e+00       6.142295595031e-04       9.396591387519e-11       2.349147846880e-10       2.021517635560e-18       4.698295693760e-11      -9.016033364618e-01       6.142295595032e-04       6.010515840946e-01       6.994864917250e-01      -1.202137781358e+00       6.142181341512e-04       1.674956842098e-05      -9.016033373836e-01       6.142532981922e-04      -1.394754490849e-04      -3.520030820126e-08       1.676684346655e-05       3.333333327361e-01      -1.393216381839e-04      -3.514389463165e-08       1.672289303680e-05       3.323194483652e-01 
       2.113929773777e-01       4.565876128677e-07      -1.202165260509e+00       6.349718728513e-04       1.038132808160e-10       2.595332020401e-10       2.386816756209e-18       5.190664040802e-11      -9.016239453818e-01       6.349718728514e-04       6.010498616873e-01       6.994810598256e-01      -1.202165259807e+00       6.349592503600e-04       1.789972096867e-05      -9.016239464760e-01       6.349980980851e-04      -1.490526154075e-04      -3.888779156815e-08       1.791818223184e-05       3.333333326951e-01      -1.488726332712e-04      -3.881743007662e-08       1.786745955950e-05       3.322499088587e-01 
       2.182985435731e-01       4.715089209041e-07      -1.202192125308e+00       6.557135987150e-04       1.143257415153e-10       2.858143537882e-10       2.803120494085e-18       5.716287075764e-11      -9.016440939806e-01       6.557135987151e-04       6.010482509027e-01       6.994758291118e-01      -1.202192124483e+00       6.556996982396e-04       1.908806513772e-05      -9.016440952650e-01       6.557424783023e-04      -1.589476739502e-04      -4.282418475549e-08       1.910775194920e-05       3.333333326527e-01      -1.587385618362e-04      -4.273781618774e-08       1.904952621803e-05       3.321780742349e-01 
       2.252041097685e-01       4.864306079539e-07      -1.202218528671e+00       6.764547700611e-04       1.255250465397e-10       3.138126163493e-10       3.275594187846e-18       6.276252326987e-11      -9.016638965035e-01       6.764547700612e-04       6.010467305666e-01       6.994707615004e-01      -1.202218527713e+00       6.764395081128e-04       2.031459958188e-05      -9.016638979969e-01       6.764864772864e-04      -1.691606119596e-04      -4.701761622867e-08       2.033555149227e-05       3.333333326089e-01      -1.689192097853e-04      -4.691296617719e-08       2.026904248810e-05       3.321039460722e-01 
       2.321096759639e-01       5.013526740893e-07      -1.202244537537e+00       6.971953783424e-04       1.374329407482e-10       3.435823518704e-10       3.809740745000e-18       6.871647037408e-11      -9.016834031528e-01       6.971953783424e-04       6.010452962293e-01       6.994658402561e-01      -1.202244536432e+00       6.971786687885e-04       2.157932297179e-05      -9.016834048754e-01       6.972300919651e-04      -1.796914126148e-04      -5.147621295654e-08       2.160157924093e-05       3.333333325638e-01      -1.794143530516e-04      -5.135077757016e-08       2.152595579811e-05       3.320275260187e-01 
       2.425410638952e-01       5.238943196536e-07      -1.202283299865e+00       7.285246332740e-04       1.568126275778e-10       3.920315689444e-10       4.746640309332e-18       7.840631378888e-11      -9.017124748991e-01       7.285246332741e-04       6.010432616980e-01       6.994586283808e-01      -1.202283298511e+00       7.285055678075e-04       2.356219605790e-05      -9.017124770090e-01       7.285642394043e-04      -1.962016998742e-04      -5.873210879000e-08       2.358649733013e-05       3.333333324930e-01      -1.958639173441e-04      -5.856998188653e-08       2.349541281848e-05       3.319077455889e-01 
       2.529724518265e-01       5.464368306445e-07      -1.202321654596e+00       7.598526846504e-04       1.779338126886e-10       4.448345317215e-10       5.859442867371e-18       8.896690634430e-11      -9.017412409473e-01       7.598526846506e-04       6.010413560909e-01       6.994516273386e-01      -1.202321652960e+00       7.598310515816e-04       2.563220271876e-05      -9.017412434977e-01       7.598976225507e-04      -2.134372209104e-04      -6.663962828540e-08       2.565863893083e-05       3.333333324191e-01      -2.130297841515e-04      -6.643362887380e-08       2.554988889533e-05       3.317827456005e-01 
       2.634038397579e-01       5.689802073098e-07      -1.202359790027e+00       7.911795481615e-04       2.008714751229e-10       5.021786878073e-10       7.171838462813e-18       1.004357375615e-10      -9.017698425201e-01       7.911795481616e-04       6.010395549387e-01       6.994447900512e-01      -1.202359788070e+00       7.911551266849e-04       2.778933843387e-05      -9.017698455692e-01       7.912302759603e-04      -2.313979265015e-04      -7.522678199945e-08       2.781799944929e-05       3.333333323422e-01      -2.309111145619e-04      -7.496874025648e-08       2.768918372152e-05       3.316525326701e-01 
       2.738352276892e-01       5.915244498973e-07      -1.202397870589e+00       8.225052435730e-04       2.257006019524e-10       5.642515048809e-10       8.709556279418e-18       1.128503009762e-10      -9.017984029421e-01       8.225052435732e-04       6.010378347689e-01       6.994380754062e-01      -1.202397868272e+00       8.224778037675e-04       3.003359870822e-05      -9.017984065526e-01       8.225622382634e-04      -2.500837691666e-04      -8.452157922875e-08       3.006457449851e-05       3.333333322620e-01      -2.495070419119e-04      -8.420225124733e-08       2.991308919088e-05       3.315171138041e-01 
       2.842666156205e-01       6.140695586541e-07      -1.202435993300e+00       8.538297581500e-04       2.524961780254e-10       6.312404450636e-10       1.050044870316e-17       1.262480890127e-10      -9.018269949753e-01       8.538297581503e-04       6.010361840944e-01       6.994314591456e-01      -1.202435990579e+00       8.537990609778e-04       3.236497901070e-05      -9.018269992152e-01       8.538935155865e-04      -2.694946976264e-04      -9.455202627884e-08       3.239835920868e-05       3.333333321788e-01      -2.688166667226e-04      -9.416100545100e-08       3.222138874636e-05       3.313764964061e-01 
       2.946980035518e-01       6.366155338270e-07      -1.202474281334e+00       8.851531108635e-04       2.813332029442e-10       7.033330073604e-10       1.257457644317e-17       1.406666014721e-10      -9.018557110006e-01       8.851531108638e-04       6.010345832634e-01       6.994249104717e-01      -1.202474278162e+00       8.851189081694e-04       3.478347475305e-05      -9.018557159430e-01       8.852241457602e-04      -2.896306652268e-04      -1.053461293337e-07       3.481934923523e-05       3.333333320925e-01      -2.888390655174e-04      -1.048717543590e-07       3.461385841560e-05       3.312306882852e-01 
       3.051293914831e-01       6.591623756623e-07      -1.202512818667e+00       9.164753027348e-04       3.122866776791e-10       7.807166941977e-10       1.496429254191e-17       1.561433388395e-10      -9.018846140004e-01       9.164753027352e-04       6.010330195949e-01       6.994184083862e-01      -1.202512814993e+00       9.164373372463e-04       3.728908130905e-05      -9.018846197241e-01       9.165541486632e-04      -3.104916233459e-04      -1.169318922532e-07       3.732753997914e-05       3.333333320031e-01      -3.095732847367e-04      -1.163611518217e-07       3.709026607351e-05       3.310796976631e-01 
       3.191537258301e-01       6.894765296867e-07      -1.202565142825e+00       9.585841551987e-04       3.573688918843e-10       8.934222297109e-10       1.873585994973e-17       1.786844459422e-10      -9.019238571189e-01       9.585841551992e-04       6.010309571241e-01       6.994097100910e-01      -1.202565138391e+00       9.585407093986e-04       4.079498520358e-05      -9.019238640269e-01       9.586743765793e-04      -3.396803277104e-04      -1.338050410909e-07       4.083705992403e-05       3.333333318779e-01      -3.385691984483e-04      -1.330816774955e-07       4.055149898192e-05       3.308685481929e-01 
